date, pm25, pm10
2024-05-04,120,
2024-05-03,122,
2024-05-02,108,
2024-05-01,91,
2024-04-30,89,47
2024-04-29,83,50
2024-04-28,93,44
2024-04-27,93,44
2024-04-26,78,47
2024-04-25,92,44
2024-04-24,112,46
2024-04-23,101,54
2024-04-22,80,84
2024-04-21,53,43
2024-04-20,105,28
2024-04-19,91,51
2024-04-18,99,59
2024-04-17,,49
2024-04-16,85,
2024-04-15,52,40
2024-04-14,49,27
2024-04-13,76,23
2024-04-12,51,36
2024-04-11,64,31
2024-04-10,111,32
2024-04-09,86,52
2024-04-08,71,40
2024-04-07,110,36
2024-04-06,101,49
2024-04-05,128,46
2024-04-04,100,61
2024-04-03,106,48
2024-04-02,116,63
2024-04-01,124,
2024-03-31,116,
2024-03-30,104,
2024-03-29,118,
2024-03-28,142,
2024-03-27,90,
2024-03-26,114,
2024-03-25,62,
2024-03-24,,
2024-03-23,,
2024-03-22,44,
2024-03-21,56,
2024-03-20,41,
2024-03-19,36,
2024-03-18,50,
2024-03-17,38,
2024-03-16,36,
2024-03-15,49,
2024-03-14,69,32
2024-03-13,67,
2024-03-12,77,
2024-03-11,53,33
2024-03-10,94,36
2024-03-09,67,50
2024-03-08,39,41
2024-03-07,34,28
2024-03-06,40,
2024-03-05,41,
2024-03-04,63,29
2024-03-03,52,61
2024-03-02,69,
2024-03-01,70,
2024-02-29,56,
2024-02-28,66,54
2024-02-27,88,30
2024-02-26,41,52
2024-02-25,47,25
2024-02-24,51,
2024-02-23,66,
2024-02-22,85,
2024-02-21,122,
2024-02-20,77,
2024-02-19,82,
2024-02-18,57,
2024-02-17,49,
2024-02-16,85,
2024-02-15,69,
2024-02-14,47,
2024-02-13,52,
2024-02-12,66,
2024-02-11,55,
2024-02-10,65,
2024-02-09,111,
2024-02-08,60,
2024-02-07,77,
2024-02-06,67,
2024-02-05,73,
2024-02-04,48,
2024-02-03,53,
2024-02-02,81,
2024-02-01,73,
2024-01-31,60,
2024-01-30,78,
2024-01-29,59,
2024-01-28,71,
2024-01-27,50,
2024-01-26,77,
2024-01-25,69,
2024-01-24,44,
2024-01-23,44,
2024-01-22,43,
2024-01-21,48,
2024-01-20,40,
2024-01-19,36,
2024-01-18,53,
2024-01-17,68,
